Canadian Heritage,Public Service Staffing Tribunal,Repair and Maintenance,1000
Canadian Heritage,Public Service Staffing Tribunal,Utilities, Materials and Supplies,14000
Canadian Heritage,Public Service Staffing Tribunal,Acquistion of Machinery and Equipment,5000
Canadian Heritage,Registry of the Public Servants Disclosure Protection Tribunal,Personnel,1153000
Canadian Heritage,Registry of the Public Servants Disclosure Protection Tribunal,Transportation and Communications,20000
Canadian Heritage,Registry of the Public Servants Disclosure Protection Tribunal,Information,5000
Canadian Heritage,Registry of the Public Servants Disclosure Protection Tribunal,Professional and Special Services,264000
Canadian Heritage,Registry of the Public Servants Disclosure Protection Tribunal,Rentals,90000
Canadian Heritage,Registry of the Public Servants Disclosure Protection Tribunal,Repair and Maintenance,53000
Canadian Heritage,Registry of the Public Servants Disclosure Protection Tribunal,Utilities, Materials and Supplies,32000
Canadian Heritage,Registry of the Public Servants Disclosure Protection Tribunal,Acquistion of Machinery and Equipment,43000
Citizenship and Immigration,Citizenship and Immigration Department,Personnel,409245000
Citizenship and Immigration,Citizenship and Immigration Department,Transportation and Communications,18544000
Citizenship and Immigration,Citizenship and Immigration Department,Information,7354000
Citizenship and Immigration,Citizenship and Immigration Department,Professional and Special Services,111446000
Citizenship and Immigration,Citizenship and Immigration Department,Rentals,9922000
Citizenship and Immigration,Citizenship and Immigration Department,Repair and Maintenance,2869000
Citizenship and Immigration,Citizenship and Immigration Department,Utilities, Materials and Supplies,6235000
Citizenship and Immigration,Citizenship and Immigration Department,Acquistion of Machinery and Equipment,8484000
Citizenship and Immigration,Citizenship and Immigration Department,Transfer Payments,933202000
Citizenship and Immigration,Immigration and Refugee Board,Personnel,101558000
Citizenship and Immigration,Immigration and Refugee Board,Transportation and Communications,3160000
Citizenship and Immigration,Immigration and Refugee Board,Information,565000
Citizenship and Immigration,Immigration and Refugee Board,Professional and Special Services,19758000
Citizenship and Immigration,Immigration and Refugee Board,Rentals,1471000
Citizenship and Immigration,Immigration and Refugee Board,Repair and Maintenance,3846000
Citizenship and Immigration,Immigration and Refugee Board,Utilities, Materials and Supplies,657000
Citizenship and Immigration,Immigration and Refugee Board,Acquistion of Machinery and Equipment,3000000
Economic Development Agency of Canada for the Regions of Quebec,Economic Development Agency of Canada for the Regions of Quebec,Personnel,41954000
Economic Development Agency of Canada for the Regions of Quebec,Economic Development Agency of Canada for the Regions of Quebec,Transportation and Communications,705000
Economic Development Agency of Canada for the Regions of Quebec,Economic Development Agency of Canada for the Regions of Quebec,Information,330000
Economic Development Agency of Canada for the Regions of Quebec,Economic Development Agency of Canada for the Regions of Quebec,Professional and Special Services,4478000
Economic Development Agency of Canada for the Regions of Quebec,Economic Development Agency of Canada for the Regions of Quebec,Rentals,619000
Economic Development Agency of Canada for the Regions of Quebec,Economic Development Agency of Canada for the Regions of Quebec,Repair and Maintenance,35000
Economic Development Agency of Canada for the Regions of Quebec,Economic Development Agency of Canada for the Regions of Quebec,Utilities, Materials and Supplies,162000
Economic Development Agency of Canada for the Regions of Quebec,Economic Development Agency of Canada for the Regions of Quebec,Acquistion of Machinery and Equipment,596000
Economic Development Agency of Canada for the Regions of Quebec,Economic Development Agency of Canada for the Regions of Quebec,Transfer Payments,247509000
Environment,Environment Department,Personnel,625695000
Environment,Environment Department,Transportation and Communications,36625000
Environment,Environment Department,Information,3849000
Environment,Environment Department,Professional and Special Services,122307000
Environment,Environment Department,Rentals,24322000
Environment,Environment Department,Repair and Maintenance,18574000
Environment,Environment Department,Utilities, Materials and Supplies,37953000
Environment,Environment Department,Acquisition of Land, Buildings and Works,1522000
Environment,Environment Department,Acquistion of Machinery and Equipment,48732000
Environment,Environment Department,Transfer Payments,127684000
Environment,Canadian Environmental Assessment Agency,Personnel,21298000
Environment,Canadian Environmental Assessment Agency,Transportation and Communications,1271000
Environment,Canadian Environmental Assessment Agency,Information,324000
Environment,Canadian Environmental Assessment Agency,Professional and Special Services,4733000
Environment,Canadian Environmental Assessment Agency,Rentals,316000
Environment,Canadian Environmental Assessment Agency,Repair and Maintenance,3000
Environment,Canadian Environmental Assessment Agency,Utilities, Materials and Supplies,154000
Environment,Canadian Environmental Assessment Agency,Acquistion of Machinery and Equipment,414000
Environment,Canadian Environmental Assessment Agency,Transfer Payments,2239000
Environment,National Round Table on the Environment and the Economy,Personnel,4850000
Environment,National Round Table on the Environment and the Economy,Transportation and Communications,93000
Environment,National Round Table on the Environment and the Economy,Information,92000
Environment,National Round Table on the Environment and the Economy,Professional and Special Services,368000
Environment,National Round Table on the Environment and the Economy,Rentals,21000
Environment,National Round Table on the Environment and the Economy,Repair and Maintenance,1000
Environment,National Round Table on the Environment and the Economy,Utilities, Materials and Supplies,5000
Environment,National Round Table on the Environment and the Economy,Acquistion of Machinery and Equipment,3000
Environment,Parks Canada Agency,Personnel,387926000
Environment,Parks Canada Agency,Transportation and Communications,12719000
Environment,Parks Canada Agency,Information,8844000
Environment,Parks Canada Agency,Professional and Special Services,68780000
Environment,Parks Canada Agency,Rentals,14390000
Environment,Parks Canada Agency,Repair and Maintenance,52377000
Environment,Parks Canada Agency,Utilities, Materials and Supplies,36442000
Environment,Parks Canada Agency,Acquisition of Land, Buildings and Works,2351000
Environment,Parks Canada Agency,Acquistion of Machinery and Equipment,15475000
Environment,Parks Canada Agency,Transfer Payments,13737000
Finance,Finance Department,Personnel,92443000
Finance,Finance Department,Transportation and Communications,2780000
Finance,Finance Department,Information,16069000
Finance,Finance Department,Professional and Special Services,16819000
Finance,Finance Department,Rentals,1900000
Finance,Finance Department,Repair and Maintenance,45000
Finance,Finance Department,Utilities, Materials and Supplies,131599000
Finance,Finance Department,Acquistion of Machinery and Equipment,1059000
Finance,Finance Department,Transfer Payments,57358967000
Finance,Finance Department,Public Debt Charges,25982207000
Finance,Auditor General,Personnel,77308000
