Ministry,Department,Item,Value
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",1235104
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",927973
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",2358300
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",2413737
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",191414
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",1396826
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",2039498
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",319770
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",1193509
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",255789
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",345769
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",793292
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",323682
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",423592
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",322261
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",2217956
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",158593
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",556575
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",171784
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",427522
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",113296
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",1931188
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",136666
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",2585929
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",186464
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",100000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",243274
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",2124913
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to self-governing aboriginal organizations, pursuant to comprehensive land claims agreements, self-government agreements or treaty legislation",6935549
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to self-governing aboriginal organizations, pursuant to comprehensive land claims agreements, self-government agreements or treaty legislation",2784499
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to self-governing aboriginal organizations, pursuant to comprehensive land claims agreements, self-government agreements or treaty legislation",3115290
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to self-governing aboriginal organizations, pursuant to comprehensive land claims agreements, self-government agreements or treaty legislation",2124280
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to self-governing aboriginal organizations, pursuant to comprehensive land claims agreements, self-government agreements or treaty legislation",58972521
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to self-governing aboriginal organizations, pursuant to comprehensive land claims agreements, self-government agreements or treaty legislation",6467469
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to self-governing aboriginal organizations, pursuant to comprehensive land claims agreements, self-government agreements or treaty legislation",6227981
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to self-governing aboriginal organizations, pursuant to comprehensive land claims agreements, self-government agreements or treaty legislation",34751508
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to self-governing aboriginal organizations, pursuant to comprehensive land claims agreements, self-government agreements or treaty legislation",1845352
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",1374491
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",214380
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",167999
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",954855
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",269195
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",1507872
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",236448
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",248805
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",648449
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",368010
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",513229
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",2977144
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",1558492
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",129750
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",3965729
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",1054558
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",1468696
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",346504
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",1007056
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",3425287
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",886751
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",986824
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",1144878
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",497308
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",147919
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in capital facilities and maintenance",3602468
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,100000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Federal interlocutor's contribution program,200000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Federal interlocutor's contribution program,139840
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Federal interlocutor's contribution program,612040
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Federal interlocutor's contribution program,584923
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Federal interlocutor's contribution program,874431
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Federal interlocutor's contribution program,2352914
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Federal interlocutor's contribution program,952104
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Federal interlocutor's contribution program,1867984
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Federal interlocutor's contribution program,1442465
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Federal interlocutor's contribution program,482700
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Federal interlocutor's contribution program,1829876
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Federal interlocutor's contribution program,170000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Federal interlocutor's contribution program,331449
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Federal interlocutor's contribution program,166631
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Federal interlocutor's contribution program,241356
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Federal interlocutor's contribution program,795152
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Federal interlocutor's contribution program,252436
Indian Affairs and Northern Development,Indian Affairs and Northern Development,"Transfer payments to the Government of Yukon for the care and maintenance, remediation and management of the closure of contaminated sites in Yukon",34790193
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Transfer payments to the Government of Yukon for the remediation of the Marwell Tar Pit Site to support the Contaminated Sites Program,129800
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Payments to Yukon First Nations pursuant to individual self-government agreements,7867782
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Payments to Yukon First Nations pursuant to individual self-government agreements,7422182
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Payments to Yukon First Nations pursuant to individual self-government agreements,7313699
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Payments to Yukon First Nations pursuant to individual self-government agreements,3832629
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Payments to Yukon First Nations pursuant to individual self-government agreements,7134799
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Payments to Yukon First Nations pursuant to individual self-government agreements,7470609
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Payments to Yukon First Nations pursuant to individual self-government agreements,11285029
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Payments to Yukon First Nations pursuant to individual self-government agreements,4243939
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Payments to Yukon First Nations pursuant to individual self-government agreements,6877325
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Payments to Yukon First Nations pursuant to individual self-government agreements,8063425
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Payments to Yukon First Nations pursuant to individual self-government agreements,5923167
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,140000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,100000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,164100
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,107000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,168260
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,140000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,107429
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,100000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,100000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,210000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,105000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,162052
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,112166
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,181128
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,330001
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,104444
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,209000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,370000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,136203
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,340056
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,150000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,116874
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,127016
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,141057
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,28884129
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,100000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,178087
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,125742
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,300000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,190435
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,241931
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,500000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,116854
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,100000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,141303
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,107900
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,217050
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,100150
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,127000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,122559
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,200000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,155000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,138125
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,218750
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,100000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,100000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,350000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,100000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,122499
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,100000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,100000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,135200
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,211706
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,100000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,121334
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,106491
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,150000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,5454823
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,395429
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,686760
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,194500
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,176900
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,300000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,292824
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,366575
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,140763
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,119441
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,202232
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,134165
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,116622
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,286128
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,100000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,579907
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,611043
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,425637
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,376979
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,456020
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,550693
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,328461
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,709947
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,1031672
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,321971
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,336075
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,124997
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,308645
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,309458
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,132293
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,392791
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,328009
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,301716
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,321568
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,165225
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,632654
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,346314
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,182961
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,341235
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant to the First Nations Finance Authority pursuant to the First Nations Fiscal and Statistical Management Act,500000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant to the Westbank First Nation to support the implantation of the Westbank First Nation Self-Government Agreement,4779976
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant to the Miawpukek Indian Band to support designated programs,10020000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,142050
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,123409
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,320000
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,109428
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Urban Aboriginal Strategy,142683
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,242972
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,283570
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,160199
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,440912
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,187145
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,225937
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,164086
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,115273
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,454412
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,469799
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,264478
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,402494
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,261822
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,108806
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,399354
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,1077995
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,393458
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,210379
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,340580
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,190216
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,126783
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,230954
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,211966
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,413062
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,753421
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,267502
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,335316
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,309382
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,982116
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,574430
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,465953
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,590522
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,226664
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,165742
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,348048
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,447181
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,960780
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,695979
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,356651
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,148151
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,361934
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,120456
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,843784
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,579920
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,387809
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,576542
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,300652
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,625142
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,131536
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,174363
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,236172
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,363739
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,320800
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,266865
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,626171
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,182122
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,327981
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,188143
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,206670
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,185315
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,170502
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,132249
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,342178
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,848931
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,437789
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,434189
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,153356
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,463013
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,325246
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,415541
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,392520
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,479166
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,239882
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,863815
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,721541
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,123952
Indian Affairs and Northern Development,Indian Affairs and Northern Development,Grant for band support funding,101108
